ABSTRACTIONID,java.lang.ArithmeticException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayStoreException,java.lang.ClassCastException,java.lang.Error,java.lang.IllegalArgumentException,java.lang.IllegalMonitorStateException,java.lang.IllegalStateException,java.lang.IndexOutOfBoundsException,java.lang.NegativeArraySizeException,java.lang.NullPointerException,java.lang.NumberFormatException,java.lang.OutOfMemoryError,java.lang.RuntimeException,java.lang.StackOverflowError,java.lang.StringIndexOutOfBoundsException,java.lang.UnsupportedOperationException,java.util.ConcurrentModificationException,java.util.EmptyStackException,java.util.FormatFlagsConversionMismatchException,java.util.IllegalFormatConversionException,java.util.IllegalFormatPrecisionException,java.util.IllegalFormatWidthException,java.util.InputMismatchException,java.util.MissingFormatArgumentException,java.util.MissingFormatWidthException,java.util.NoSuchElementException,java.util.UnknownFormatConversionException,java.util.regex.PatternSyntaxException,Total Outputs
HumanEval_147_get_max_triples,0,0,0,0,0,0,692,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,725
HumanEval_148_bf,0,14,0,0,0,38,0,0,12,0,2,0,0,7,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,103
HumanEval_149_sorted_list_sum,0,7,0,0,0,0,0,0,34,0,0,68,38,0,0,23,0,24,0,0,0,0,0,0,0,0,0,0,0,194
HumanEval_14_all_prefixes,0,2,0,0,0,5,0,0,3,0,2,2,7,1,24,86,0,4,0,0,0,0,0,0,0,0,1,0,2,139
HumanEval_150_x_or_y,11,0,0,0,0,0,0,0,0,0,0,0,0,20,32,0,24,0,0,0,0,0,0,0,0,0,0,10,0,97
HumanEval_151_double_the_difference,0,0,0,0,14,0,0,0,1,0,0,0,0,28,0,0,56,0,0,0,0,0,0,0,0,0,1,0,0,100
HumanEval_152_compare,1,0,0,908,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933
HumanEval_153_Strongest_Extension,0,70,0,0,0,9,0,0,191,0,29,22,0,21,0,274,0,0,0,8,0,0,0,0,0,0,2,0,0,626
HumanEval_154_cycpattern_check,5,116,0,0,0,0,0,0,70,0,0,0,2,0,28,572,6,0,0,0,0,0,0,0,0,0,0,0,0,799
HumanEval_155_even_odd_count,4,0,0,0,0,201,144,0,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,369
HumanEval_156_int_to_mini_roman,0,309,0,0,0,1,1064,0,23,0,26,14,34,15,100,15,42,0,0,0,13,0,0,0,0,0,0,0,0,1656
HumanEval_157_right_angle_triangle,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,123
HumanEval_158_find_max,0,0,0,0,0,0,0,0,19,0,245,0,0,20,0,127,30,0,0,0,0,0,0,0,0,0,0,0,0,441
HumanEval_159_eat,0,0,0,0,0,0,0,0,12,0,0,0,70,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,88
HumanEval_15_string_sequence,0,0,0,0,0,1,1023,0,0,0,0,15,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1044
HumanEval_160_do_algebra,3,0,0,0,0,3,0,0,139,0,0,12,0,3,3,1,0,0,215,0,0,0,0,0,0,0,0,0,0,379
HumanEval_161_solve,0,1,8,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,28
HumanEval_162_string_to_md5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8
HumanEval_163_generate_integers,2,0,0,0,0,8,0,0,1,0,0,0,57,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
HumanEval_16_count_distinct_characters,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,50
HumanEval_17_parse_music,1,17,0,5,0,58,0,0,12,0,0,91,13,29,0,42,10,0,0,0,0,0,0,4,0,0,0,0,5,287
HumanEval_18_how_many_times,0,9,0,0,0,1,0,0,0,0,2,0,0,0,17,375,0,0,4,0,0,0,0,0,0,0,0,0,1,409
HumanEval_19_sort_numbers,0,9,0,0,0,6,0,0,1,0,27,1354,0,11,0,7,20,0,0,0,0,0,0,0,0,0,1,0,0,1436
HumanEval_1_separate_paren_groups,0,12,0,0,0,7,0,0,31,0,0,0,19,12,4,122,0,0,26,0,0,0,0,0,0,0,0,0,0,233
HumanEval_20_find_closest_elements,0,4,5,0,0,0,0,0,69,0,5,0,0,10,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,128
HumanEval_21_rescale_to_unit,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,32
HumanEval_22_filter_integers,0,0,0,48,3,2,0,1,1,0,0,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
HumanEval_23_strlen,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
HumanEval_24_largest_divisor,30,0,0,0,0,0,1365,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1416
HumanEval_25_factorize,31,0,0,0,0,0,2696,0,7,0,0,0,1813,0,32,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4587
HumanEval_26_remove_duplicates,0,0,0,364,3,0,0,0,3,0,0,0,0,3,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,384
HumanEval_27_flip_case,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,54,6,0,0,0,0,0,0,0,0,0,0,0,0,67
HumanEval_28_concatenate,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10
HumanEval_29_filter_by_prefix,0,0,0,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
HumanEval_2_truncate_number,9,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24
HumanEval_30_get_positive,1,0,0,1314,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1322
HumanEval_31_is_prime,0,0,0,0,26,0,5850,0,0,0,0,0,0,52,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5954
HumanEval_33_sort_third,0,0,0,488,0,0,0,0,1037,0,8,0,4,4,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1557
HumanEval_34_unique,0,0,0,239,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,242
HumanEval_35_max_element,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
HumanEval_36_fizz_buzz,5,0,0,0,0,15,3984,0,0,0,0,0,8,16,49,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4093
HumanEval_37_sort_even,0,0,0,1458,0,0,0,0,363,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1827
HumanEval_39_prime_fib,9,30,0,0,0,0,1000,0,18,0,0,0,0,32,125,0,40,0,0,0,0,0,0,0,0,0,5,0,0,1259
HumanEval_3_below_zero,0,0,0,245,0,1,0,0,290,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,44,0,0,583
HumanEval_40_triples_sum_to_zero,1,7,0,3478,0,0,0,0,53,0,16,0,0,18,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,3635
HumanEval_41_car_race_collision,14,5,0,0,0,5,20,0,5,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
HumanEval_42_incr_list,0,0,0,156,0,0,0,0,20,0,0,0,2,1,2,0,0,26,0,0,0,0,0,0,0,0,3,0,0,210
HumanEval_43_pairs_sum_to_zero,0,6,0,26,9,0,0,0,58,0,18,0,0,18,0,0,54,9,0,0,0,0,0,0,0,0,1,0,0,199
HumanEval_44_change_base,0,3,0,0,0,54,0,0,0,0,0,48,16,0,132,12,3,0,0,0,0,0,0,0,0,0,0,2,0,270
HumanEval_46_fib4,0,4,0,0,0,24,16,0,0,0,0,0,0,0,584,0,12,0,0,0,0,0,0,0,0,0,0,0,0,640
HumanEval_47_median,0,0,0,15,0,0,0,0,24,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,47
HumanEval_48_is_palindrome,0,9,0,0,0,5,0,7,0,1,0,0,0,28,1,56,49,0,0,0,0,0,0,0,0,0,0,0,6,162
HumanEval_49_modp,378,0,0,0,0,67,0,0,0,0,0,0,0,6,105,0,0,0,0,0,0,0,0,0,0,0,2,0,0,558
HumanEval_4_mean_absolute_deviation,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
HumanEval_51_remove_vowels,0,0,0,0,0,7,0,0,0,0,0,0,0,42,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,76
HumanEval_52_below_threshold,0,0,0,0,0,0,0,6,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
HumanEval_54_same_chars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,94
HumanEval_55_fib,0,0,0,0,0,8,1285,0,0,0,0,0,0,14,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360
HumanEval_56_correct_bracketing,0,37,0,0,0,0,0,12,63,0,12,0,0,125,0,249,99,0,24,0,0,0,0,0,0,0,0,0,0,621
HumanEval_57_monotonic,0,0,16,2520,0,0,0,0,163,0,109,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2824
HumanEval_58_common,0,3,0,943,0,4,0,0,26,0,0,0,0,8,5,0,8,325,0,0,0,0,0,0,0,0,1,0,0,1323
HumanEval_59_largest_prime_factor,5,2,0,0,0,0,655,0,0,0,0,0,0,5,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,702
HumanEval_5_intersperse,0,0,0,0,0,1,0,0,71,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,85
HumanEval_60_sum_to_n,0,0,0,0,0,0,1865,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1877
HumanEval_61_correct_bracketing,0,14,0,0,0,0,0,0,19,0,10,12,0,0,0,163,0,0,52,0,0,0,0,0,0,0,0,0,0,270
HumanEval_62_derivative,1,0,0,1790,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864
HumanEval_63_fibfib,6,1,0,0,0,12,602,0,0,0,0,0,0,14,645,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1287
HumanEval_64_vowels_count,0,7,0,0,0,0,0,0,0,0,0,21,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,55
HumanEval_65_circular_shift,4,1,0,0,0,6,0,0,0,0,0,0,17,0,2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,131
HumanEval_66_digitSum,0,0,0,0,0,5,0,0,0,0,0,8,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22
HumanEval_67_fruit_distribution,70,1442,0,0,0,35,0,0,0,0,0,5766,0,28,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7355
HumanEval_68_pluck,2,1,0,14,0,0,0,0,32,0,2,0,0,32,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,93
HumanEval_69_search,0,9,0,0,0,0,0,0,50,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,181
HumanEval_6_parse_nested_parens,0,2,0,0,0,3,0,0,71,0,0,28,3,6,9,3,3,0,47,0,0,0,0,0,0,0,3,0,6,184
HumanEval_70_strange_sort_list,0,0,0,358,0,2,0,0,248,0,8,0,50,1,169,0,0,0,0,0,0,0,0,0,0,0,87,0,0,923
HumanEval_71_triangle_area,0,0,0,0,0,11,0,0,0,0,0,0,0,9,6,0,18,0,0,0,9,0,0,0,0,0,0,0,0,53
HumanEval_72_will_it_fly,0,0,0,0,0,0,0,0,5,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
HumanEval_73_smallest_change,0,7,0,0,0,0,0,0,90,0,0,0,0,32,8,0,8,0,14,0,0,0,0,0,0,0,2,0,0,161
HumanEval_74_total_match,0,0,0,0,0,22,0,0,381,0,2,5,0,18,6,39,9,0,0,0,0,0,0,0,0,0,5,0,0,487
HumanEval_75_is_multiply_prime,10,4,0,0,0,12,2750,0,0,0,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2830
HumanEval_76_is_simple_power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
HumanEval_77_iscube,9,0,0,0,0,10,28,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,73
HumanEval_78_hex_key,8,10,0,0,0,13,0,0,0,0,0,82,0,8,6,21,0,3,0,0,0,0,0,5,0,0,0,0,0,156
HumanEval_79_decimal_to_binary,2,0,0,0,0,1,1600,0,0,0,0,3,68,4,10,18,8,0,0,8,3,0,0,0,0,1,0,4,0,1730
HumanEval_7_filter_by_substring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
HumanEval_80_is_happy,0,94,0,0,0,0,0,0,4,0,0,0,0,24,0,411,24,0,0,0,0,0,0,0,0,0,0,0,0,557
HumanEval_81_numerical_letter_grade,0,0,0,0,0,8,0,0,26,0,0,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,59
HumanEval_82_prime_length,94,53,0,0,0,1,0,0,0,0,0,99,0,64,16,675,128,0,0,0,0,0,0,0,0,0,0,0,0,1130
HumanEval_83_starts_one_ends,16,0,0,0,0,0,40,0,0,0,0,0,0,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,0,96
HumanEval_84_solve,20,5,0,0,0,0,1630,0,0,0,0,4,5,5,10,0,0,0,0,0,0,5,3,0,0,5,0,0,0,1692
HumanEval_85_add,0,0,0,0,0,0,0,0,11,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
HumanEval_86_anti_shuffle,0,20,0,9,0,0,0,0,14,2,6,2,2,14,14,77,7,0,0,0,0,0,0,0,0,0,0,0,0,167
HumanEval_87_get_row,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16
HumanEval_88_sort_array,0,1,7,411,0,9,0,0,72,0,6,0,3,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,527
HumanEval_89_encrypt,0,217,0,0,0,0,0,0,77,0,8,0,7,8,0,334,16,0,0,0,0,0,0,0,0,0,0,0,0,667
HumanEval_8_sum_product,2,0,0,36,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43
HumanEval_90_next_smallest,0,0,0,1235,7,0,0,0,327,0,389,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,2006
HumanEval_91_is_bored,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,27
HumanEval_92_any_int,0,0,0,0,0,2,0,0,0,0,0,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
HumanEval_93_encode,0,261,0,0,0,5,0,0,5,0,0,0,0,0,0,234,5,0,0,0,0,0,0,0,0,0,0,0,0,510
HumanEval_94_skjkasdkd,67,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,96
HumanEval_95_check_dict_case,0,1,0,0,0,0,0,0,0,0,30,0,0,7,0,3,42,0,0,0,0,0,0,0,0,0,1,0,0,84
HumanEval_96_count_up_to,9,0,0,0,0,0,3520,0,5,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3570
HumanEval_97_multiply,37,0,0,0,0,4,0,0,0,0,0,20,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,8,0,88
HumanEval_98_count_upper,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,25,42,0,0,0,0,0,0,0,0,0,0,0,0,109
HumanEval_99_closest_integer,9,16,0,0,0,9,0,0,0,0,0,1044,0,3,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,1089
HumanEval_9_rolling_max,0,2,0,879,0,4,0,0,451,0,7,0,10,2,1,0,0,3,0,0,0,0,0,0,0,0,19,0,0,1378
mbpp_100_next_smallest_palindrome,0,2,0,0,0,0,0,0,0,0,0,12,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
mbpp_101_kth_element,0,0,0,3,0,2,0,0,19,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
mbpp_102_snake_to_camel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_103_eulerian_num,13,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
mbpp_108_merge_sorted_list,0,3,0,0,0,0,0,0,55,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
mbpp_109_odd_Equivalent,0,3,0,0,0,0,0,3,3,0,0,9,0,0,2,45,0,0,0,0,0,0,0,0,0,0,0,0,1,66
mbpp_113_check_integer,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
mbpp_119_search,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
mbpp_11_remove_Occ,0,3,0,0,0,1,0,0,1,2,2,0,3,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,2,141
mbpp_123_amicable_numbers_sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_125_find_length,0,2,0,0,0,0,0,0,0,0,0,4,0,0,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,44
mbpp_126_sum,24,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
mbpp_128_long_words,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mbpp_129_magic_square_test,0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
mbpp_12_sort_matrix,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_130_max_occurrences,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12
mbpp_135_hexagonal_num,3,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_138_is_Sum_Of_Powers_Of_Two,4,3,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_141_pancake_sort,3,0,0,0,0,0,0,0,47,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,60
mbpp_142_count_samepair,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
mbpp_14_find_Volume,3,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
